<276166880, 29.23, 1000, mru, 10, zipf(1.2)>
<153360686, 2.22, 1000, mru, 20, zipf(1.2)>
<1304923179, 198.11, 1000, mru, 50, zipf(1.2)>
<905975101, 198.32, 1000, mru, 50, zipf(1.2)>
<998024613, 198.42, 1000, mru, 50, zipf(1.2)>
<0, 249.11, 1000, mru, 50, zipf(1.2)>
<31198649, 255.27, 1000, mru, 50, zipf(1.2)>
<0, 0.43, 1000, mru, 100, zipf(1.2)>
<753466043, 0.96, 1000, mru, 100, zipf(1.2)>
<67222548, 1.03, 1000, mru, 100, zipf(1.2)>
<182804447, 1.01, 1000, mru, 100, zipf(1.2)>
<920278799, 1.04, 1000, mru, 100, zipf(1.2)>
<0, 0.36, 1000, mru, 200, zipf(1.2)>
<272707550, 0.98, 1000, mru, 200, zipf(1.2)>
<214394207, 0.98, 1000, mru, 200, zipf(1.2)>
<584491177, 0.99, 1000, mru, 200, zipf(1.2)>
<721064252, 1.00, 1000, mru, 200, zipf(1.2)>
<0, 0.34, 1000, lfu, 10, zipf(1.2)>
<1217544281, 0.79, 1000, lfu, 10, zipf(1.2)>
<1671470639, 0.89, 1000, lfu, 10, zipf(1.2)>
<678325381, 0.90, 1000, lfu, 10, zipf(1.2)>
<417547219, 0.95, 1000, lfu, 10, zipf(1.2)>
<0, 0.42, 1000, lfu, 50, zipf(1.2)>
<1050125015, 0.89, 1000, lfu, 50, zipf(1.2)>
<496807559, 0.93, 1000, lfu, 50, zipf(1.2)>
<117540081, 0.95, 1000, lfu, 50, zipf(1.2)>
<41707007, 0.97, 1000, lfu, 50, zipf(1.2)>
<0, 0.40, 1000, lfu, 100, zipf(1.2)>
<1212261155, 0.92, 1000, lfu, 100, zipf(1.2)>
<154146583, 0.98, 1000, lfu, 100, zipf(1.2)>
<1478356571, 0.99, 1000, lfu, 100, zipf(1.2)>
<314381735, 1.00, 1000, lfu, 100, zipf(1.2)>
<0, 0.34, 1000, lifo, 20, zipf(1.2)>
<865788351, 0.79, 1000, lifo, 20, zipf(1.2)>
<1321239593, 0.90, 1000, lifo, 20, zipf(1.2)>
<1317796874, 0.90, 1000, lifo, 20, zipf(1.2)>
<1260553535, 1.02, 1000, lifo, 20, zipf(1.2)>
<1843522415, 0.68, 1000, lifo, 50, zipf(1.2)>
<0, 0.83, 1000, lifo, 50, zipf(1.2)>
<1434653829, 1.02, 1000, lifo, 50, zipf(1.2)>
<17345199, 1.06, 1000, lifo, 50, zipf(1.2)>
<258473591, 1.05, 1000, lifo, 50, zipf(1.2)>
